Organism,Scaffold,Start,End,Score,AE015928_4228,AE015928_4229,AE015928_4230,AE015928_4231,AE015928_4232,AE015928_4233,AE015928_4234,AE015928_4235,AE015928_4236,AE015928_4237,AE015928_4238,AE015928_4239,AE015928_4240,AE015928_4241,AE015928_4242,AE015928_4243,AE015928_4244,AE015928_4245,AE015928_4246
AAXF02000054,AAXF02000054.1,299030,309610,8.5529,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AE015928,AE015928.1,5371713,5408988,33.2672,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
CP012801,CP012801.1,5211797,5216367,5.2045,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DS264584,DS264584.1,299030,309610,8.5529,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FP929033,FP929033.1,3988940,3999516,7.4710,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JH724241,JH724241.1,2338846,2349476,8.5530,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LT622246,LT622246.1,2918196,2928827,8.5544,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NC_004663,NC_004663.1,5371713,5408988,33.2605,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
NZ_CP012938,NZ_CP012938.1,5623779,5634410,8.5544,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NZ_CP113514,NZ_CP113514.1,982781,993411,8.5541,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NZ_DS264584,NZ_DS264584.1,299030,309610,8.5529,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
