Organism,Scaffold,Start,End,Score,CU207366_1997,CU207366_1998,CU207366_1999,CU207366_2000,CU207366_2001,CU207366_2002,CU207366_2003,CU207366_2004,CU207366_2005,CU207366_2006,CU207366_2007,CU207366_2008,CU207366_2009
CP016359,CP016359.1,228552,248102,16.7113,1,1,1,1,1,1,1,0,1,0,1,0,1
CU207366,CU207366.1,2258232,2278112,26.2419,1,1,1,1,1,1,1,1,1,1,1,1,1
LT629745,LT629745.1,2642028,2654075,17.6796,1,1,1,1,1,1,1,1,1,0,0,0,0
NZ_JQNQ01000001,NZ_JQNQ01000001.1,3564959,3582423,15.6861,1,1,1,0,1,1,1,0,1,1,1,0,0
