Organism,Scaffold,Start,End,Score,NC_008526_2570,NC_008526_2571,NC_008526_2572,NC_008526_2573,NC_008526_2574,NC_008526_2575,NC_008526_2576,NC_008526_2577,NC_008526_2578,NC_008526_2579,NC_008526_2580,NC_008526_2581,NC_008526_2582,NC_008526_2583,NC_008526_2584,NC_008526_2585
CP034973,CP034973.1,277943,281468,5.2108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
CP136114,CP136114.1,2710288,2719982,13.3794,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0
CP195156,CP195156.1,2737053,2747300,15.4018,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0
NC_008526,NC_008526.1,2647311,2663903,28.8929,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
NC_010999,NC_010999.1,2812096,2828688,28.8840,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
