Organism,Scaffold,Start,End,Score,NC_006370_514,NC_006370_515,NC_006370_516,NC_006370_517,NC_006370_518,NC_006370_519,NC_006370_520,NC_006370_521,NC_006370_522,NC_006370_523,NC_006370_524,NC_006370_525
AE016795,AE016795.3,1636234,1648866,10.4335,1,1,0,0,0,1,1,1,1,0,0,0
NC_002505,NC_002505.1,642813,655483,10.4337,1,1,0,0,0,1,1,1,1,0,0,0
NC_006370,NC_006370.1,541672,560176,21.1681,1,1,1,1,1,1,1,1,1,1,0,1
NC_006840,NC_006840.2,2393010,2405535,10.4464,1,1,0,0,0,1,1,1,1,0,0,0
NZ_CP090614,NZ_CP090614.1,2159272,2171993,10.4389,1,1,0,0,0,1,1,1,1,0,0,0
