genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_46	NZ_NFHS01000001.1	54204	55658	+	0	NZ_NFHS01000001.1_46		GH76	
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_47	NZ_NFHS01000001.1	55677	58847	+	19	NZ_NFHS01000001.1_47	susC		
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_48	NZ_NFHS01000001.1	58882	60966	+	35	NZ_NFHS01000001.1_48	susD		
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_49	NZ_NFHS01000001.1	60995	61810	+	29	NZ_NFHS01000001.1_49			
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_50	NZ_NFHS01000001.1	61932	64112	+	122	NZ_NFHS01000001.1_50			
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_51	NZ_NFHS01000001.1	64172	66667	+	60	NZ_NFHS01000001.1_51			
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_52	NZ_NFHS01000001.1	66664	68991	+	-3	NZ_NFHS01000001.1_52		GH92	
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_53	NZ_NFHS01000001.1	69018	69131	+	27	NZ_NFHS01000001.1_53			
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_54	NZ_NFHS01000001.1	69121	70125	+	-10	NZ_NFHS01000001.1_54		GH43_34	
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_55	NZ_NFHS01000001.1	70161	71645	+	36	NZ_NFHS01000001.1_55		GH125	
NZ_NFHS01000001	PUL1	NZ_NFHS01000001.1_56	NZ_NFHS01000001.1	71654	73711	+	9	NZ_NFHS01000001.1_56		GH127	
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_79	NZ_NFHS01000001.1	101277	103829	-	27566	NZ_NFHS01000001.1_79		GH105	
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_80	NZ_NFHS01000001.1	103954	105570	-	125	NZ_NFHS01000001.1_80	susD		
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_81	NZ_NFHS01000001.1	105592	108831	-	22	NZ_NFHS01000001.1_81	susC		
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_82	NZ_NFHS01000001.1	108938	109957	-	107	NZ_NFHS01000001.1_82			
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_83	NZ_NFHS01000001.1	110111	110659	+	154	NZ_NFHS01000001.1_83			
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_84	NZ_NFHS01000001.1	110729	112939	-	70	NZ_NFHS01000001.1_84		GH3	
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_85	NZ_NFHS01000001.1	113046	113816	-	107	NZ_NFHS01000001.1_85			
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_86	NZ_NFHS01000001.1	113828	116548	-	12	NZ_NFHS01000001.1_86		GH2_20	
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_87	NZ_NFHS01000001.1	116545	118323	-	-3	NZ_NFHS01000001.1_87		GH2_4	
NZ_NFHS01000001	PUL2	NZ_NFHS01000001.1_88	NZ_NFHS01000001.1	118381	120375	-	58	NZ_NFHS01000001.1_88		GH97	
NZ_NFHS01000001	PUL3	NZ_NFHS01000001.1_124	NZ_NFHS01000001.1	159798	162980	+	39423	NZ_NFHS01000001.1_124	susC		
NZ_NFHS01000001	PUL3	NZ_NFHS01000001.1_125	NZ_NFHS01000001.1	162997	164640	+	17	NZ_NFHS01000001.1_125	susD		
NZ_NFHS01000001	PUL3	NZ_NFHS01000001.1_126	NZ_NFHS01000001.1	164843	167773	+	203	NZ_NFHS01000001.1_126		GH92	
NZ_NFHS01000001	PUL3	NZ_NFHS01000001.1_127	NZ_NFHS01000001.1	167792	168655	+	19	NZ_NFHS01000001.1_127			
NZ_NFHS01000001	PUL3	NZ_NFHS01000001.1_128	NZ_NFHS01000001.1	168669	169811	+	14	NZ_NFHS01000001.1_128			
NZ_NFHS01000001	PUL3	NZ_NFHS01000001.1_129	NZ_NFHS01000001.1	169833	171437	+	22	NZ_NFHS01000001.1_129		GH63	
NZ_NFHS01000001	PUL3	NZ_NFHS01000001.1_130	NZ_NFHS01000001.1	171452	172903	+	15	NZ_NFHS01000001.1_130		GH125	
NZ_NFHS01000001	PUL3	NZ_NFHS01000001.1_131	NZ_NFHS01000001.1	172900	175221	+	-3	NZ_NFHS01000001.1_131		GH20	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_158	NZ_NFHS01000001.1	206669	209407	-	31448	NZ_NFHS01000001.1_158	susC		
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_159	NZ_NFHS01000001.1	209410	209928	-	3	NZ_NFHS01000001.1_159			
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_160	NZ_NFHS01000001.1	210215	210760	-	287	NZ_NFHS01000001.1_160			
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_161	NZ_NFHS01000001.1	210781	211911	-	21	NZ_NFHS01000001.1_161			
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_162	NZ_NFHS01000001.1	212148	212237	+	237	NZ_NFHS01000001.1_162			
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_163	NZ_NFHS01000001.1	212417	213670	+	180	NZ_NFHS01000001.1_163		GH154	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_164	NZ_NFHS01000001.1	213633	214994	+	-37	NZ_NFHS01000001.1_164		PL42	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_165	NZ_NFHS01000001.1	215012	216139	+	18	NZ_NFHS01000001.1_165		GH105	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_166	NZ_NFHS01000001.1	216250	218190	+	111	NZ_NFHS01000001.1_166		GH43_34;GH43_19	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_167	NZ_NFHS01000001.1	218221	220167	+	31	NZ_NFHS01000001.1_167		GH97	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_168	NZ_NFHS01000001.1	220393	222936	+	226	NZ_NFHS01000001.1_168		GH51_2	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_169	NZ_NFHS01000001.1	222994	224985	+	58	NZ_NFHS01000001.1_169		GH127	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_170	NZ_NFHS01000001.1	225040	226989	+	55	NZ_NFHS01000001.1_170		GH51_2	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_171	NZ_NFHS01000001.1	227167	230262	+	178	NZ_NFHS01000001.1_171		GH2_10	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_172	NZ_NFHS01000001.1	230399	234466	-	137	NZ_NFHS01000001.1_172			
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_173	NZ_NFHS01000001.1	234846	238166	+	380	NZ_NFHS01000001.1_173	susC		
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_174	NZ_NFHS01000001.1	238179	240164	+	13	NZ_NFHS01000001.1_174	susD		
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_175	NZ_NFHS01000001.1	240268	241356	+	104	NZ_NFHS01000001.1_175			
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_176	NZ_NFHS01000001.1	241381	243540	+	25	NZ_NFHS01000001.1_176		GH105;GH43_24	
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_177	NZ_NFHS01000001.1	243500	244072	-	-40	NZ_NFHS01000001.1_177			
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_178	NZ_NFHS01000001.1	244236	245417	+	164	NZ_NFHS01000001.1_178			
NZ_NFHS01000001	PUL4	NZ_NFHS01000001.1_179	NZ_NFHS01000001.1	245532	248852	-	115	NZ_NFHS01000001.1_179		GH35;GH43_24	
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_302	NZ_NFHS01000001.1	388909	390633	+	140057	NZ_NFHS01000001.1_302		GH18	
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_303	NZ_NFHS01000001.1	390649	390756	+	16	NZ_NFHS01000001.1_303			
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_304	NZ_NFHS01000001.1	390888	393998	+	132	NZ_NFHS01000001.1_304	susC		
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_305	NZ_NFHS01000001.1	394020	395582	+	22	NZ_NFHS01000001.1_305	susD		
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_306	NZ_NFHS01000001.1	395913	396191	+	331	NZ_NFHS01000001.1_306			
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_307	NZ_NFHS01000001.1	396184	396987	-	-7	NZ_NFHS01000001.1_307			
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_308	NZ_NFHS01000001.1	397022	399487	-	35	NZ_NFHS01000001.1_308		GH9	
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_309	NZ_NFHS01000001.1	399719	401383	+	232	NZ_NFHS01000001.1_309			
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_310	NZ_NFHS01000001.1	401590	404550	+	207	NZ_NFHS01000001.1_310	susC		
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_311	NZ_NFHS01000001.1	404583	406376	+	33	NZ_NFHS01000001.1_311	susD		
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_312	NZ_NFHS01000001.1	406399	407577	+	23	NZ_NFHS01000001.1_312			
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_313	NZ_NFHS01000001.1	407604	407738	+	27	NZ_NFHS01000001.1_313			
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_314	NZ_NFHS01000001.1	407888	409225	+	150	NZ_NFHS01000001.1_314		GH13_48	
NZ_NFHS01000001	PUL5	NZ_NFHS01000001.1_315	NZ_NFHS01000001.1	409229	411376	+	4	NZ_NFHS01000001.1_315		GH97	
