genome	pulid	contigid	start	end	pattern
NZ_EQ973490	PUL1	NZ_EQ973490.1	21574	36736	susC-PL1_2-unk-susD-susC-unk-GH28-unk-GH105
NZ_EQ973490	PUL2	NZ_EQ973490.1	73587	93589	susC-susD-unk-unk-GH29-GH105-GH2_2-GH109-unk-unk-GH20
NZ_EQ973490	PUL3	NZ_EQ973490.1	109763	141658	GH30_2-GH43_2-GH3-GH92-GH43_2-unk-unk-susD-susC-unk-unk-GH43_28;CBM32-GH31_4-GH3-unk-unk-GH95
NZ_EQ973490	PUL4	NZ_EQ973490.1	188735	216341	susC-unk-unk-unk-unk-GH9-unk-GH97-unk-susD-susC-unk-unk-susD-susC
NZ_EQ973490	PUL5	NZ_EQ973490.1	219674	225031	susD-susC
NZ_EQ973490	PUL6	NZ_EQ973490.1	227528	249874	susC-susD-unk-unk-unk-GH171-unk-unk-unk-GT2_Glycos_transf_2-unk-unk-unk-GH171
NZ_EQ973490	PUL7	NZ_EQ973490.1	267474	324751	susC-susD-GH3-GH144-GH29-GH95-unk-GH106-GH28-susD-susC-unk-unk-GH31_14-GH29-GH78;CBM67-CBM67;GH78-GH29-unk-unk-unk-susC-susD-GH3-unk-GH144-unk-CE15-unk-susC
NZ_EQ973490	PUL8	NZ_EQ973490.1	329020	335714	CBM102-susD-susC
NZ_EQ973490	PUL9	NZ_EQ973490.1	403078	465291	susD-susC-GH13_46-unk-unk-GH13-unk-GH16_3-GH29-GH2_10-GH20-unk-susD-susC-unk-GH159-unk-unk-GH146-GH50-GH159-CE20-susD-susC-susD-susC-unk-unk-GH2_6
NZ_EQ973490	PUL10	NZ_EQ973490.1	515377	531401	susC-susD-unk-unk-GH2_10-GH63-unk-susC
NZ_EQ973490	PUL11	NZ_EQ973490.1	560160	571795	GH97-GH13_48-GH13_48-unk-susD-susC
NZ_EQ973490	PUL12	NZ_EQ973490.1	658468	672046	susC-susD-PL8_2-unk-unk-PL8_2
NZ_EQ973490	PUL13	NZ_EQ973490.1	682231	695770	GH30_3-unk-susC-susD-CBM57;GH2_2-GH88;PL38
NZ_EQ973490	PUL14	NZ_EQ973490.1	747302	752244	susD-susC
NZ_EQ973490	PUL15	NZ_EQ973490.1	808985	840352	CE20-unk-unk-unk-unk-GH182-GH43_3-GH43_3-susD-susC-unk-GH31_15-GH115-GH105-GH130_3-unk-GH2_17-GH105
NZ_EQ973490	PUL16	NZ_EQ973490.1	845313	864762	GH43_31-unk-susD-susC-unk-unk-unk-unk-GH177-unk-GH2_18
NZ_EQ973490	PUL17	NZ_EQ973490.1	901776	947210	susC-susD-unk-unk-GH2_10-unk-GH76-GH125-unk-CBM32;GH43_28-GH3-GH3-unk-unk-susC-susD-unk-unk-unk-GH127-GH31_1-unk-unk-unk-unk-GH92
NZ_EQ973490	PUL18	NZ_EQ973490.1	997285	1032693	susC-susD-unk-GH30_2-unk-unk-susC-susD-GH30_4-GH2_1-GH30_4-unk-unk-unk-susD-susC-GH95
NZ_EQ973490	PUL19	NZ_EQ973490.1	1073699	1081165	susD-susC-GH127
NZ_EQ973490	PUL20	NZ_EQ973490.1	1082056	1104678	GH97-CBM32;GH43_34-GH127-unk-unk-susC-susD-unk-GH146
NZ_EQ973490	PUL21	NZ_EQ973490.1	1122029	1133901	GH43_3-GH3-susC-susD-unk-GH139-unk-CE1
NZ_EQ973490	PUL22	NZ_EQ973490.1	1197914	1210374	susC-susD-unk-unk-GH43_10;GH5_21;CBM91
NZ_EQ973490	PUL23	NZ_EQ973490.1	1295257	1300024	susC-susC-susD
NZ_EQ973490	PUL24	NZ_EQ973490.1	1403751	1426846	GH42-unk-unk-unk-GH2_1-susC-susD-unk-GH30_4-GH51_2-GH51_2
NZ_EQ973490	PUL25	NZ_EQ973490.1	1429181	1438244	susC-susD-GH78;CBM67
NZ_EQ973490	PUL26	NZ_EQ973490.1	1502450	1518897	GH130_5-susC-susD-unk-GH173-GH173-GH26-GH2_13-GH3
NZ_EQ973490	PUL27	NZ_EQ973490.1	1608936	1613465	susC-susD
NZ_EQ973490	PUL28	NZ_EQ973490.1	1618246	1645314	GH92-susD-unk-unk-GH130_1-GH26-GH26-unk-unk-susD-susC-GH5_2-GH5_7-CE7-unk-GH3
NZ_EQ973490	PUL29	NZ_EQ973490.1	1681451	1705277	susC-susD-unk-PL8_3-GH79-PL8_3-GH2_17-GH2_13-GH88-GH28-GH78;CBM67;PL8_3
NZ_EQ973490	PUL30	NZ_EQ973490.1	1713657	1759930	GH97-susC-susD-GH28-GH3-unk-susC-susD-unk-GH31_4-unk-unk-unk-unk-susC-susD-GH144-GH3-unk-GH3
NZ_EQ973490	PUL31	NZ_EQ973490.1	1832567	1848733	GH3-susC-susD-unk-GH144-GH144-unk-unk-CBM32;GH43_28-CE1
NZ_EQ973490	PUL32	NZ_EQ973490.1	1859162	1875386	susC-susD-unk-unk-unk-GH29-unk-GH127-GH3
NZ_EQ973490	PUL33	NZ_EQ973490.1	1913600	1924247	susC-susD-unk-susD-susC
NZ_EQ973490	PUL34	NZ_EQ973490.1	1953197	1979337	susC-susD-unk-unk-CBM67;GH78-CE20-GH16_7-GH39-GH3-unk-GH2_10-GH92-GH92
NZ_EQ973490	PUL35	NZ_EQ973490.1	1996377	2001266	susC-susD
NZ_EQ973490	PUL36	NZ_EQ973490.1	2029335	2040670	susC-susD-unk-GH97-GH2_19
NZ_EQ973490	PUL37	NZ_EQ973490.1	2128667	2143496	GH20-GH20-unk-CE9-unk-unk-GH18-unk-susD-susC
NZ_EQ973490	PUL38	NZ_EQ973490.1	2158026	2163350	susC-susD
