Organism,Scaffold,Start,End,Score,FP929042_169,FP929042_170,FP929042_171,FP929042_172
CP173697,CP173697.1,1929233,1932911,5.1914,1,1,1,0
FP929042,FP929042.1,196459,202017,7.3464,1,1,1,1
NC_012781,NC_012781.1,501346,506902,7.3341,1,1,1,1
