genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
JAPFGC010000002	PUL1	JAPFGC010000002.1_403	JAPFGC010000002.1	450069	453299	+	0	JAPFGC010000002.1_403	susC		
JAPFGC010000002	PUL1	JAPFGC010000002.1_404	JAPFGC010000002.1	453309	454790	+	10	JAPFGC010000002.1_404	susD		
JAPFGC010000002	PUL1	JAPFGC010000002.1_405	JAPFGC010000002.1	454807	456858	+	17	JAPFGC010000002.1_405			
JAPFGC010000002	PUL1	JAPFGC010000002.1_406	JAPFGC010000002.1	456870	458528	+	12	JAPFGC010000002.1_406		CBM103;GH16_3	
JAPFGC010000002	PUL1	JAPFGC010000002.1_407	JAPFGC010000002.1	458530	460830	+	2	JAPFGC010000002.1_407		GH3	
JAPFGC010000002	PUL1	JAPFGC010000002.1_408	JAPFGC010000002.1	460827	461594	+	-3	JAPFGC010000002.1_408		GH16_3	
JAPFGC010000002	PUL2	JAPFGC010000002.1_1855	JAPFGC010000002.1	2035129	2038143	+	1573535	JAPFGC010000002.1_1855	susC		
JAPFGC010000002	PUL2	JAPFGC010000002.1_1856	JAPFGC010000002.1	2038156	2039685	+	13	JAPFGC010000002.1_1856	susD		
JAPFGC010000002	PUL2	JAPFGC010000002.1_1857	JAPFGC010000002.1	2039698	2041410	+	13	JAPFGC010000002.1_1857			
JAPFGC010000002	PUL2	JAPFGC010000002.1_1858	JAPFGC010000002.1	2041518	2042885	+	108	JAPFGC010000002.1_1858		GH144	
JAPFGC010000002	PUL2	JAPFGC010000002.1_1859	JAPFGC010000002.1	2042885	2044234	+	0	JAPFGC010000002.1_1859		GH144	
JAPFGC010000002	PUL2	JAPFGC010000002.1_1860	JAPFGC010000002.1	2044247	2045038	+	13	JAPFGC010000002.1_1860		CE1	
JAPFGC010000002	PUL2	JAPFGC010000002.1_1861	JAPFGC010000002.1	2045031	2047343	+	-7	JAPFGC010000002.1_1861		GH3	
JAPFGC010000002	PUL2	JAPFGC010000002.1_1862	JAPFGC010000002.1	2047351	2048235	+	8	JAPFGC010000002.1_1862			
JAPFGC010000002	PUL2	JAPFGC010000002.1_1863	JAPFGC010000002.1	2048235	2050070	+	0	JAPFGC010000002.1_1863		CBM32;GH43_28	
JAPFGC010000002	PUL3	JAPFGC010000002.1_1882	JAPFGC010000002.1	2070356	2071942	+	20286	JAPFGC010000002.1_1882		GH32	
JAPFGC010000002	PUL3	JAPFGC010000002.1_1883	JAPFGC010000002.1	2071945	2072823	+	3	JAPFGC010000002.1_1883			
JAPFGC010000002	PUL3	JAPFGC010000002.1_1884	JAPFGC010000002.1	2072812	2073837	-	-11	JAPFGC010000002.1_1884			
JAPFGC010000002	PUL3	JAPFGC010000002.1_1885	JAPFGC010000002.1	2074135	2077104	+	298	JAPFGC010000002.1_1885	susC		
JAPFGC010000002	PUL3	JAPFGC010000002.1_1886	JAPFGC010000002.1	2077116	2078720	+	12	JAPFGC010000002.1_1886	susD		
JAPFGC010000002	PUL4	JAPFGC010000002.1_2519	JAPFGC010000002.1	2829899	2832943	+	751179	JAPFGC010000002.1_2519	susC		
JAPFGC010000002	PUL4	JAPFGC010000002.1_2520	JAPFGC010000002.1	2832953	2834533	+	10	JAPFGC010000002.1_2520	susD		
JAPFGC010000002	PUL4	JAPFGC010000002.1_2521	JAPFGC010000002.1	2834625	2836172	+	92	JAPFGC010000002.1_2521		GH51_1	
JAPFGC010000002	PUL4	JAPFGC010000002.1_2522	JAPFGC010000002.1	2836184	2837797	+	12	JAPFGC010000002.1_2522		GH43_4	
JAPFGC010000002	PUL4	JAPFGC010000002.1_2523	JAPFGC010000002.1	2837807	2838802	+	10	JAPFGC010000002.1_2523		GH43_29	
JAPFGC010000002	PUL4	JAPFGC010000002.1_2524	JAPFGC010000002.1	2838808	2839794	+	6	JAPFGC010000002.1_2524		GH43_5	
JAPFGC010000002	PUL4	JAPFGC010000002.1_2525	JAPFGC010000002.1	2839805	2841766	+	11	JAPFGC010000002.1_2525		GH127	
JAPFGC010000002	PUL4	JAPFGC010000002.1_2526	JAPFGC010000002.1	2841797	2843137	+	31	JAPFGC010000002.1_2526			
JAPFGC010000002	PUL4	JAPFGC010000002.1_2527	JAPFGC010000002.1	2843139	2844140	+	2	JAPFGC010000002.1_2527		GH43_26	
JAPFGC010000002	PUL4	JAPFGC010000002.1_2528	JAPFGC010000002.1	2844151	2846160	+	11	JAPFGC010000002.1_2528		GH51_2	
JAPFGC010000002	PUL5	JAPFGC010000002.1_2629	JAPFGC010000002.1	2955322	2958636	-	109162	JAPFGC010000002.1_2629	susC		
JAPFGC010000002	PUL5	JAPFGC010000002.1_2630	JAPFGC010000002.1	2958822	2960240	-	186	JAPFGC010000002.1_2630	susD		
JAPFGC010000002	PUL5	JAPFGC010000002.1_2631	JAPFGC010000002.1	2960252	2963473	-	12	JAPFGC010000002.1_2631	susC		
