Organism,Scaffold,Start,End,Score,NZ_VISB01000001_2757,NZ_VISB01000001_2758,NZ_VISB01000001_2759,NZ_VISB01000001_2760,NZ_VISB01000001_2761,NZ_VISB01000001_2762,NZ_VISB01000001_2763,NZ_VISB01000001_2764,NZ_VISB01000001_2765,NZ_VISB01000001_2766,NZ_VISB01000001_2767,NZ_VISB01000001_2768,NZ_VISB01000001_2769,NZ_VISB01000001_2770,NZ_VISB01000001_2771,NZ_VISB01000001_2772,NZ_VISB01000001_2773,NZ_VISB01000001_2774,NZ_VISB01000001_2775,NZ_VISB01000001_2776,NZ_VISB01000001_2777,NZ_VISB01000001_2778,NZ_VISB01000001_2779,NZ_VISB01000001_2780,NZ_VISB01000001_2781,NZ_VISB01000001_2782,NZ_VISB01000001_2783,NZ_VISB01000001_2784,NZ_VISB01000001_2785,NZ_VISB01000001_2786,NZ_VISB01000001_2787,NZ_VISB01000001_2788,NZ_VISB01000001_2789,NZ_VISB01000001_2790,NZ_VISB01000001_2791,NZ_VISB01000001_2792,NZ_VISB01000001_2793,NZ_VISB01000001_2794,NZ_VISB01000001_2795,NZ_VISB01000001_2796,NZ_VISB01000001_2797,NZ_VISB01000001_2798,NZ_VISB01000001_2799,NZ_VISB01000001_2800,NZ_VISB01000001_2801,NZ_VISB01000001_2802,NZ_VISB01000001_2803,NZ_VISB01000001_2804,NZ_VISB01000001_2805
CP016359,CP016359.1,1680575,1689581,5.3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP476056,FP476056.1,4636720,4639037,5.1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FP476056,FP476056.1,3657706,3662387,4.2665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC_014934,NC_014934.1,4515110,4517439,5.1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP009976,NZ_CP009976.1,3773558,3775890,5.1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_CP014224,NZ_CP014224.1,1501120,1508820,6.3242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_JQNJ01000001,NZ_JQNJ01000001.1,2054614,2058969,3.2242,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NZ_VISB01000001,NZ_VISB01000001.1,3238796,3314997,101.7864,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZ_VISB01000001,NZ_VISB01000001.1,1281350,1288814,6.3209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
