genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_90	NZ_ABQC02000019.1	92412	93983	-	0	NZ_ABQC02000019.1_90		GH50	
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_91	NZ_ABQC02000019.1	94004	96316	-	21	NZ_ABQC02000019.1_91		GH154;GH105	
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_92	NZ_ABQC02000019.1	96404	98134	-	88	NZ_ABQC02000019.1_92			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_93	NZ_ABQC02000019.1	98198	98710	-	64	NZ_ABQC02000019.1_93			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_94	NZ_ABQC02000019.1	98948	99439	-	238	NZ_ABQC02000019.1_94			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_95	NZ_ABQC02000019.1	99486	100451	-	47	NZ_ABQC02000019.1_95		GH16_12	
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_96	NZ_ABQC02000019.1	100853	101047	-	402	NZ_ABQC02000019.1_96			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_97	NZ_ABQC02000019.1	101458	102768	-	411	NZ_ABQC02000019.1_97			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_98	NZ_ABQC02000019.1	102774	104960	-	6	NZ_ABQC02000019.1_98		GH86	
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_99	NZ_ABQC02000019.1	105011	106834	-	51	NZ_ABQC02000019.1_99		GH86	
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_100	NZ_ABQC02000019.1	106930	107484	-	96	NZ_ABQC02000019.1_100			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_101	NZ_ABQC02000019.1	107500	109224	-	16	NZ_ABQC02000019.1_101			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_102	NZ_ABQC02000019.1	109230	111266	-	6	NZ_ABQC02000019.1_102	susD		
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_103	NZ_ABQC02000019.1	111286	114384	-	20	NZ_ABQC02000019.1_103	susC		
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_104	NZ_ABQC02000019.1	114517	118488	-	133	NZ_ABQC02000019.1_104			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_105	NZ_ABQC02000019.1	118753	119925	-	265	NZ_ABQC02000019.1_105			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_106	NZ_ABQC02000019.1	119950	121533	-	25	NZ_ABQC02000019.1_106			
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_107	NZ_ABQC02000019.1	121538	123331	-	5	NZ_ABQC02000019.1_107		GH29	
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_108	NZ_ABQC02000019.1	123627	124529	+	296	NZ_ABQC02000019.1_108		GH16_14	
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_109	NZ_ABQC02000019.1	124633	126264	-	104	NZ_ABQC02000019.1_109	susD		
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_110	NZ_ABQC02000019.1	126276	129338	-	12	NZ_ABQC02000019.1_110	susC		
NZ_ABQC02000019	PUL1	NZ_ABQC02000019.1_111	NZ_ABQC02000019.1	129577	132888	-	239	NZ_ABQC02000019.1_111		GH2_10	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_341	NZ_ABQC02000019.1	407771	410935	+	274883	NZ_ABQC02000019.1_341	susC		
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_342	NZ_ABQC02000019.1	410949	412847	+	14	NZ_ABQC02000019.1_342	susD		
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_343	NZ_ABQC02000019.1	412889	415735	+	42	NZ_ABQC02000019.1_343	susC		
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_344	NZ_ABQC02000019.1	415760	417535	+	25	NZ_ABQC02000019.1_344	susD		
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_345	NZ_ABQC02000019.1	417569	418576	+	34	NZ_ABQC02000019.1_345			
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_346	NZ_ABQC02000019.1	418595	420853	+	19	NZ_ABQC02000019.1_346		GH10	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_347	NZ_ABQC02000019.1	421069	423606	+	216	NZ_ABQC02000019.1_347		GH115	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_348	NZ_ABQC02000019.1	423672	424997	+	66	NZ_ABQC02000019.1_348			
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_349	NZ_ABQC02000019.1	424939	425079	+	-58	NZ_ABQC02000019.1_349			
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_350	NZ_ABQC02000019.1	425086	426798	-	7	NZ_ABQC02000019.1_350		GH43_12;CBM91	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_351	NZ_ABQC02000019.1	427060	428019	+	262	NZ_ABQC02000019.1_351		CE1	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_352	NZ_ABQC02000019.1	428041	430491	+	22	NZ_ABQC02000019.1_352		GH95	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_353	NZ_ABQC02000019.1	430531	432138	+	40	NZ_ABQC02000019.1_353		CBM91;GH43_10	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_354	NZ_ABQC02000019.1	432177	434567	+	39	NZ_ABQC02000019.1_354		GH146	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_355	NZ_ABQC02000019.1	434642	436603	+	75	NZ_ABQC02000019.1_355		GH97	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_356	NZ_ABQC02000019.1	436678	438003	+	75	NZ_ABQC02000019.1_356		GH43_29;CBM6	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_357	NZ_ABQC02000019.1	438033	439436	+	30	NZ_ABQC02000019.1_357		GH43_29;CBM6	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_358	NZ_ABQC02000019.1	439453	442131	+	17	NZ_ABQC02000019.1_358		GH31_4	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_359	NZ_ABQC02000019.1	442154	443044	+	23	NZ_ABQC02000019.1_359		CE6	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_360	NZ_ABQC02000019.1	443105	447187	-	61	NZ_ABQC02000019.1_360			
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_361	NZ_ABQC02000019.1	447548	449170	+	361	NZ_ABQC02000019.1_361		CE20	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_362	NZ_ABQC02000019.1	449180	450676	+	10	NZ_ABQC02000019.1_362			
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_363	NZ_ABQC02000019.1	450692	451840	+	16	NZ_ABQC02000019.1_363		GH10	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_364	NZ_ABQC02000019.1	451890	452867	+	50	NZ_ABQC02000019.1_364		GH43_1	
NZ_ABQC02000019	PUL2	NZ_ABQC02000019.1_365	NZ_ABQC02000019.1	452860	454872	+	-7	NZ_ABQC02000019.1_365		GH67	
NZ_ABQC02000019	PUL3	NZ_ABQC02000019.1_429	NZ_ABQC02000019.1	534647	537661	+	79775	NZ_ABQC02000019.1_429	susC		
NZ_ABQC02000019	PUL3	NZ_ABQC02000019.1_430	NZ_ABQC02000019.1	537687	539318	+	26	NZ_ABQC02000019.1_430	susD		
NZ_ABQC02000019	PUL3	NZ_ABQC02000019.1_431	NZ_ABQC02000019.1	539536	542550	+	218	NZ_ABQC02000019.1_431		GH92	
NZ_ABQC02000019	PUL3	NZ_ABQC02000019.1_432	NZ_ABQC02000019.1	542558	543106	+	8	NZ_ABQC02000019.1_432			
NZ_ABQC02000019	PUL3	NZ_ABQC02000019.1_433	NZ_ABQC02000019.1	543159	543944	+	53	NZ_ABQC02000019.1_433			
NZ_ABQC02000019	PUL3	NZ_ABQC02000019.1_434	NZ_ABQC02000019.1	544084	544359	+	140	NZ_ABQC02000019.1_434			
NZ_ABQC02000019	PUL3	NZ_ABQC02000019.1_435	NZ_ABQC02000019.1	544377	545741	+	18	NZ_ABQC02000019.1_435			
NZ_ABQC02000019	PUL3	NZ_ABQC02000019.1_436	NZ_ABQC02000019.1	546004	549036	+	263	NZ_ABQC02000019.1_436	susC		
NZ_ABQC02000019	PUL3	NZ_ABQC02000019.1_437	NZ_ABQC02000019.1	549061	550743	+	25	NZ_ABQC02000019.1_437	susD		
NZ_ABQC02000019	PUL4	NZ_ABQC02000019.1_579	NZ_ABQC02000019.1	709257	711992	+	158514	NZ_ABQC02000019.1_579		PL40	
NZ_ABQC02000019	PUL4	NZ_ABQC02000019.1_580	NZ_ABQC02000019.1	712235	715195	+	243	NZ_ABQC02000019.1_580			
NZ_ABQC02000019	PUL4	NZ_ABQC02000019.1_581	NZ_ABQC02000019.1	715417	715935	+	222	NZ_ABQC02000019.1_581			
NZ_ABQC02000019	PUL4	NZ_ABQC02000019.1_582	NZ_ABQC02000019.1	715979	719191	+	44	NZ_ABQC02000019.1_582	susC		
NZ_ABQC02000019	PUL4	NZ_ABQC02000019.1_583	NZ_ABQC02000019.1	719205	720923	+	14	NZ_ABQC02000019.1_583	susD		
NZ_ABQC02000019	PUL4	NZ_ABQC02000019.1_584	NZ_ABQC02000019.1	720966	722417	+	43	NZ_ABQC02000019.1_584			
NZ_ABQC02000019	PUL4	NZ_ABQC02000019.1_585	NZ_ABQC02000019.1	722547	723761	+	130	NZ_ABQC02000019.1_585			
NZ_ABQC02000019	PUL4	NZ_ABQC02000019.1_586	NZ_ABQC02000019.1	723841	726966	+	80	NZ_ABQC02000019.1_586		GH2_10	
