Organism,Scaffold,Start,End,Score,FQ312004_3349,FQ312004_3350,FQ312004_3351,FQ312004_3352,FQ312004_3353,FQ312004_3354,FQ312004_3355,FQ312004_3356
AP006841,AP006841.1,4117850,4128335,15.6639,1,1,1,1,1,1,1,1
CR626927,CR626927.1,4022353,4035710,15.6633,1,1,1,1,1,1,1,1
FQ312004,FQ312004.1,4060270,4070266,13.6442,1,1,1,1,1,1,1,0
NC_003228,NC_003228.3,4022353,4035644,15.6633,1,1,1,1,1,1,1,1
NC_006347,NC_006347.1,4117850,4128335,15.6639,1,1,1,1,1,1,1,1
NC_016776,NC_016776.1,4060270,4070755,15.6648,1,1,1,1,1,1,1,1
