Organism,Scaffold,Start,End,Score,FP929033_1499,FP929033_1500,FP929033_1501,FP929033_1502,FP929033_1503,FP929033_1504,FP929033_1505,FP929033_1506,FP929033_1507,FP929033_1508,FP929033_1509,FP929033_1510,FP929033_1511,FP929033_1512,FP929033_1513,FP929033_1514
AAXF02000045,AAXF02000045.1,75191,89437,16.8733,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
ABJL02000008,ABJL02000008.1,858933,872593,15.6494,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
ABJL02000008,ABJL02000008.1,835016,839499,5.2630,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AE015928,AE015928.1,417721,433937,17.8094,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
AE015928,AE015928.1,446386,455321,7.5107,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
CP000139,CP000139.1,2993265,3000969,8.3346,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
CP012801,CP012801.1,925331,954278,24.2406,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
CP129143,CP129143.1,2921056,2930222,12.5160,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
FP929033,FP929033.1,1841729,1872020,29.6537,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
HF548278,HF548278.1,7507,13280,9.3155,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
HF548278,HF548278.1,32594,36985,3.1892,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
LT622246,LT622246.1,4044789,4059035,16.8708,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
NC_004663,NC_004663.1,417721,433937,17.8094,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
NC_004663,NC_004663.1,446386,455321,7.5104,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
NC_009614,NC_009614.1,2993265,3000969,8.3346,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
NC_014033,NC_014033.1,507673,511575,5.1958,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
NZ_ABJL02000008,NZ_ABJL02000008.1,858933,872593,15.6494,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
NZ_ABJL02000008,NZ_ABJL02000008.1,835016,839499,5.2630,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
NZ_CP012938,NZ_CP012938.1,277900,292146,16.8719,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
NZ_CP046176,NZ_CP046176.1,1292539,1300243,8.3346,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
NZ_CP102288,NZ_CP102288.1,866380,872015,3.2007,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
NZ_CP113514,NZ_CP113514.1,2178620,2192876,13.7729,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0
NZ_DS362241,NZ_DS362241.1,16739,25905,12.5160,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0
NZ_DS990126,NZ_DS990126.1,105557,119349,6.4739,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
NZ_DS990130,NZ_DS990130.1,701188,707038,8.3325,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0
