genome	pulid	contigid	start	end	pattern
NZ_CP074436	PUL1	NZ_CP074436.1	68288	72918	susC-susD
NZ_CP074436	PUL2	NZ_CP074436.1	300456	305076	susC-susD
NZ_CP074436	PUL3	NZ_CP074436.1	415039	442366	GH2_13-unk-GH117-GH29-susC-susD-unk-GH2_1-unk-CE2-PL29-unk-GH2_6
NZ_CP074436	PUL4	NZ_CP074436.1	617220	636185	susC-susD-unk-GH173-GH130_5-GH173-unk-GH2_13-unk-GH173-CE1;CE6
NZ_CP074436	PUL5	NZ_CP074436.1	1488200	1492986	susD-susC
NZ_CP074436	PUL6	NZ_CP074436.1	1548920	1553884	susC-susD
NZ_CP074436	PUL7	NZ_CP074436.1	1567710	1572260	susC-susD
NZ_CP074436	PUL8	NZ_CP074436.1	2350625	2363529	GH43_12;CBM91-GH10-GH10-unk-susD-susC-GH3
NZ_CP074436	PUL9	NZ_CP074436.1	2570578	2575291	susD-susC
NZ_CP074436	PUL10	NZ_CP074436.1	2866642	2871473	susD-susC
NZ_CP074436	PUL11	NZ_CP074436.1	3226340	3231174	susC-susD
NZ_CP074436	PUL12	NZ_CP074436.1	3508277	3513212	susC-susD
NZ_CP074436	PUL13	NZ_CP074436.1	3527707	3545087	PL6_1-unk-GH188-PL6_1;PL6-unk-PL17_2-AA18-susC-susD
NZ_CP074436	PUL14	NZ_CP074436.1	3548460	3553090	susC-susD
NZ_CP074436	PUL15	NZ_CP074436.1	3703799	3708419	susD-susC
NZ_CP074436	PUL16	NZ_CP074436.1	3741310	3745695	susC-susD
NZ_CP074436	PUL17	NZ_CP074436.1	3952209	3956881	susD-susC
NZ_CP074436	PUL18	NZ_CP074436.1	3957534	3962344	susD-susC
NZ_CP074436	PUL19	NZ_CP074436.1	4016888	4021479	susD-susC
NZ_CP074436	PUL20	NZ_CP074436.1	4236655	4273645	GH150-unk-GH2_10-unk-GH110-GH82-unk-susC-susD-susC-susD-unk-unk-unk-susC-unk-unk-GH2_6-GH16_13
NZ_CP074436	PUL21	NZ_CP074436.1	4280757	4312653	GH16_13-unk-susC-susD-unk-GH16_13-unk-GH16_13-GH127-unk-unk-unk-unk-GH127-unk-unk-unk-GH43_29
NZ_CP074436	PUL22	NZ_CP074436.1	4322164	4331049	GH167-unk-susC-susD
