Organism,Scaffold,Start,End,Score,NZ_CP102288_719,NZ_CP102288_720,NZ_CP102288_721,NZ_CP102288_722,NZ_CP102288_723,NZ_CP102288_724,NZ_CP102288_725,NZ_CP102288_726
AAXF02000045,AAXF02000045.1,73039,83361,9.3807,1,1,1,1,1,0,0,0
ABJL02000008,ABJL02000008.1,862562,874778,6.3034,1,1,1,0,1,0,0,0
AE015928,AE015928.1,415535,426326,9.3778,1,1,1,1,1,0,0,0
CP000139,CP000139.1,2991118,2999788,7.3827,1,0,1,1,1,0,1,0
CP012801,CP012801.1,946262,956463,6.3035,1,1,1,0,1,0,0,0
CP129143,CP129143.1,2918856,2926581,3.2234,1,0,1,0,1,0,0,0
FP929033,FP929033.1,1841729,1849906,4.2008,0,1,1,0,1,0,0,0
LT622246,LT622246.1,4042637,4052959,9.3807,1,1,1,1,1,0,0,0
NC_004663,NC_004663.1,415535,426326,9.3778,1,1,1,1,1,0,0,0
NC_009614,NC_009614.1,2991118,2999788,7.3827,1,0,1,1,1,0,1,0
NC_014033,NC_014033.1,507673,514016,6.3001,0,0,1,1,1,0,1,0
NZ_ABJL02000008,NZ_ABJL02000008.1,862562,874778,6.3034,1,1,1,0,1,0,0,0
NZ_CP012938,NZ_CP012938.1,275748,286070,9.3807,1,1,1,1,1,0,0,0
NZ_CP046176,NZ_CP046176.1,1290392,1299062,7.3827,1,0,1,1,1,0,1,0
NZ_CP102288,NZ_CP102288.1,864252,876017,15.7370,1,1,1,1,1,1,1,1
NZ_CP113514,NZ_CP113514.1,2176468,2186798,9.3805,1,1,1,1,1,0,0,0
NZ_DS362241,NZ_DS362241.1,20380,28105,3.2234,1,0,1,0,1,0,0,0
NZ_DS990130,NZ_DS990130.1,699038,708963,7.3841,1,0,1,1,1,0,1,0
