Organism,Scaffold,Start,End,Score,LT622246_2504,LT622246_2505,LT622246_2506,LT622246_2507
AAXF02000054,AAXF02000054.1,767882,774089,7.3900,1,1,1,1
AE015928,AE015928.1,5878344,5884554,7.3327,1,1,1,1
DS264584,DS264584.1,767882,774089,7.3900,1,1,1,1
FP929033,FP929033.1,4497151,4502581,5.3375,1,1,1,0
JH724241,JH724241.1,2846261,2852469,7.4025,1,1,1,1
LT622246,LT622246.1,3387098,3393306,7.3997,1,1,1,1
NC_004663,NC_004663.1,5878344,5884554,7.3383,1,1,1,1
NZ_CP012938,NZ_CP012938.1,6092685,6098893,7.4055,1,1,1,1
NZ_CP113514,NZ_CP113514.1,1481601,1487809,7.3990,1,1,1,1
NZ_DS264584,NZ_DS264584.1,767882,774089,4.1987,1,0,1,1
