genome	pulid	protein_id	contig	start	end	strand	dist	protein_name	sus	hmm	active
ABJL02000008	PUL1	ABJL02000008.1_43	ABJL02000008.1	57190	59922	+	0	ABJL02000008.1_43	susC		
ABJL02000008	PUL1	ABJL02000008.1_44	ABJL02000008.1	59934	61571	+	12	ABJL02000008.1_44	susD		
ABJL02000008	PUL2	ABJL02000008.1_402	ABJL02000008.1	438549	440150	-	376978	ABJL02000008.1_402	susD		
ABJL02000008	PUL2	ABJL02000008.1_403	ABJL02000008.1	440150	443287	-	0	ABJL02000008.1_403	susC		
ABJL02000008	PUL2	ABJL02000008.1_404	ABJL02000008.1	443388	443996	+	101	ABJL02000008.1_404			
ABJL02000008	PUL2	ABJL02000008.1_405	ABJL02000008.1	443993	444526	-	-3	ABJL02000008.1_405			
ABJL02000008	PUL2	ABJL02000008.1_406	ABJL02000008.1	444527	445735	-	1	ABJL02000008.1_406		GT2_Glycos_transf_2	
ABJL02000008	PUL3	ABJL02000008.1_485	ABJL02000008.1	530975	532423	-	85240	ABJL02000008.1_485		GH39	
ABJL02000008	PUL3	ABJL02000008.1_486	ABJL02000008.1	532491	534167	-	68	ABJL02000008.1_486	susD		
ABJL02000008	PUL3	ABJL02000008.1_487	ABJL02000008.1	534179	537190	-	12	ABJL02000008.1_487	susC		
ABJL02000008	PUL4	ABJL02000008.1_667	ABJL02000008.1	736870	740136	+	199680	ABJL02000008.1_667	susC		
ABJL02000008	PUL4	ABJL02000008.1_668	ABJL02000008.1	740157	741485	+	21	ABJL02000008.1_668	susD		
ABJL02000008	PUL4	ABJL02000008.1_669	ABJL02000008.1	741575	743569	-	90	ABJL02000008.1_669		GH27;CBM51	
ABJL02000008	PUL5	ABJL02000008.1_681	ABJL02000008.1	758457	760031	-	14888	ABJL02000008.1_681	susD		
ABJL02000008	PUL5	ABJL02000008.1_682	ABJL02000008.1	760044	763154	-	13	ABJL02000008.1_682	susC		
