Organism,Scaffold,Start,End,Score,FP476056_2983,FP476056_2984,FP476056_2985,FP476056_2986,FP476056_2987,FP476056_2988,FP476056_2989,FP476056_2990,FP476056_2991,FP476056_2992,FP476056_2993,FP476056_2994,FP476056_2995,FP476056_2996,FP476056_2997
CP002534,CP002534.1,2023153,2029289,9.2942,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
FP476056,FP476056.1,3634324,3657429,30.4833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NC_014934,NC_014934.1,473913,499306,14.6407,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1
NC_015167,NC_015167.1,2023153,2029289,9.2942,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
NZ_CP009976,NZ_CP009976.1,4522758,4528921,6.2385,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
