genome	pulid	contigid	start	end	pattern
NZ_KI912107	PUL1	NZ_KI912107.1	50680	55151	susD-susC
NZ_KI912107	PUL2	NZ_KI912107.1	569706	592115	susC-susD-susC-susD-unk-GH2_1-GH2_1-GH3-unk-GH29
NZ_KI912107	PUL3	NZ_KI912107.1	593506	598431	susC-susD
NZ_KI912107	PUL4	NZ_KI912107.1	602190	618668	susC-susD-susC-susD-unk-unk-unk-unk-GH3
NZ_KI912107	PUL5	NZ_KI912107.1	619403	634868	susC-susD-unk-GH92-GH29-GH3-GH78
NZ_KI912107	PUL6	NZ_KI912107.1	915646	945864	GH110-unk-unk-GH150-unk-susC-susD-unk-CE20-unk-unk-GH2_1-unk-GH82-unk-GH2_1-GH16_17
NZ_KI912107	PUL7	NZ_KI912107.1	956467	966282	GH2_10-unk-susC-susD
NZ_KI912107	PUL8	NZ_KI912107.1	966972	984509	GH127-GH127-unk-unk-GH167-unk-GH110-susC-susD
NZ_KI912107	PUL9	NZ_KI912107.1	991137	996070	susC-susD
NZ_KI912107	PUL10	NZ_KI912107.1	1024495	1050645	susC-susD-GH30_4-GH5-unk-GH43_34;GH43_19-unk-GH2_10-unk-unk-susC-susD-GH115
NZ_KI912107	PUL11	NZ_KI912107.1	1349451	1358855	susC-susD-unk-unk-GH88
NZ_KI912107	PUL12	NZ_KI912107.1	1373962	1395301	susC-susD-susC-susD-GH128-unk-unk-unk-unk-susC-susD
NZ_KI912107	PUL13	NZ_KI912107.1	1406344	1436856	susC-susD-unk-GH26-GH26-GH130_1-unk-unk-unk-unk-GH5_41-unk-unk-GH2_13-GH5_7-unk-unk-unk-GH5_8
NZ_KI912107	PUL14	NZ_KI912107.1	1660995	1706728	CE20-unk-unk-unk-unk-GH115-unk-GH2_1-GH10-unk-unk-unk-susD-unk-susD-susC-GH43_12;CBM91-unk-unk-unk-GH43_1-GH10-susD-susC-GH67
NZ_KI912107	PUL15	NZ_KI912107.1	1790046	1804611	GH43_1-GH10-unk-GH10-unk-susD-susC-GH3
NZ_KI912107	PUL16	NZ_KI912107.1	1848683	1885966	GH95-susD-susC-unk-unk-PL40-PL40-GH43_2-GH29-unk-GH30_2-unk-GH97-unk-susC-unk-unk-susD-susC
NZ_KI912107	PUL17	NZ_KI912107.1	1893965	1911795	GH88-CE20-unk-CBM6;PL43;CBM88-unk-susD-susC
NZ_KI912107	PUL18	NZ_KI912107.1	2029051	2041741	GH3-GH16_3-GH2_4-GH16_3-CBM103-susD-susC
NZ_KI912107	PUL19	NZ_KI912107.1	2107978	2112935	susD-susC
NZ_KI912107	PUL20	NZ_KI912107.1	2193759	2198756	susD-susC
NZ_KI912107	PUL21	NZ_KI912107.1	2219572	2223978	susD-susC
NZ_KI912107	PUL22	NZ_KI912107.1	2567468	2572108	susD-susC
NZ_KI912107	PUL23	NZ_KI912107.1	3042450	3067883	AA18-PL6_1;PL6-PL17_2-PL6;PL6_1-susD-susC-unk-unk-susD-susC-unk-PL6-susC
NZ_KI912107	PUL24	NZ_KI912107.1	3380783	3386073	susC-susD
NZ_KI912107	PUL25	NZ_KI912107.1	3545890	3550969	susD-susC
NZ_KI912107	PUL26	NZ_KI912107.1	3698360	3707776	susC-susD-unk-GH30_3-GH30_1
NZ_KI912107	PUL27	NZ_KI912107.1	4030004	4045577	CBM47-GH2_1-unk-susD-susC-susD-susC
NZ_KI912107	PUL28	NZ_KI912107.1	4160570	4168678	GH32-GH32-susD-susC
NZ_KI912107	PUL29	NZ_KI912107.1	4545195	4550002	susC-susD
NZ_KI912107	PUL30	NZ_KI912107.1	4990205	4994927	susC-susD
NZ_KI912107	PUL31	NZ_KI912107.1	5012701	5017442	susC-susD
NZ_KI912107	PUL32	NZ_KI912107.1	5029120	5038650	GH94-susC-susD-GH3
NZ_KI912107	PUL33	NZ_KI912107.1	5156984	5189482	GH43_18-unk-GH115-GH2_11-GH28-GH106-CE12-GH105;GH159;CE12-susD-susC-GH105-CE12-unk-GH28-PL11_1
NZ_KI912107	PUL34	NZ_KI912107.1	5257099	5271136	susC-susD-GH2_10-GH105-unk-GH154
NZ_KI912107	PUL35	NZ_KI912107.1	5508614	5522319	GH5_7-unk-susC-susD-unk-GH173-GH130_5-CE6-GH173
NZ_KI912107	PUL36	NZ_KI912107.1	5595838	5608535	GH2_1-GH92-GH85-susC-susD
NZ_KI912107	PUL37	NZ_KI912107.1	5661849	5686762	GH2_2;CBM57-GH136;CBM96-CE20-unk-susD-susC-susD-susC-unk-unk-GH50-unk-GH88
NZ_KI912107	PUL38	NZ_KI912107.1	5792934	5810880	GH2_13-unk-unk-GH86-unk-unk-unk-susC-susD
NZ_KI912107	PUL39	NZ_KI912107.1	5843368	5890691	susC-susD-unk-GH5_4-GH31_4-GH95-GH3-unk-CE2-unk-GH42-CBM91;GH43_12-GH27-unk-CE6-unk-unk-GH2_13-susC-susD-unk-unk-unk-GH5_4
